"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2023","16,104.80","16,043.40","16,127.95","16,034.75","","0.89%"
"30-11-2023","15,963.25","15,873.60","15,990.05","15,796.25","","0.79%"
"29-11-2023","15,838.85","15,814.50","15,853.90","15,808.45","","0.66%"
"28-11-2023","15,734.35","15,733.90","15,745.55","15,680.75","","0.39%"
"24-11-2023","15,673.50","15,679.00","15,708.30","15,652.35","","0.20%"
"23-11-2023","15,641.60","15,677.75","15,687.20","15,633.65","","0.10%"
"22-11-2023","15,625.85","15,623.45","15,645.40","15,511.00","","0.20%"
"21-11-2023","15,595.10","15,650.70","15,663.80","15,583.25","","0.03%"
"20-11-2023","15,589.70","15,628.40","15,654.40","15,562.80","","0.02%"
"17-11-2023","15,586.10","15,520.15","15,601.75","15,492.90","","0.34%"
"16-11-2023","15,532.80","15,450.65","15,567.15","15,432.55","","0.70%"
"15-11-2023","15,424.75","15,425.80","15,434.75","15,378.05","","0.87%"
"13-11-2023","15,292.20","15,284.85","15,309.70","15,223.15","","-0.04%"
"12-11-2023","15,298.95","15,322.40","15,341.25","15,289.15","","0.66%"
"10-11-2023","15,199.15","15,136.45","15,212.90","15,058.20","","0.37%"
"09-11-2023","15,142.80","15,174.15","15,199.80","15,132.00","","0.03%"
"08-11-2023","15,138.70","15,070.45","15,149.70","15,066.00","","0.96%"
"07-11-2023","14,994.10","14,987.60","15,023.70","14,940.40","","0.27%"
"06-11-2023","14,953.75","14,917.00","14,964.70","14,887.90","","0.91%"
"03-11-2023","14,819.10","14,813.65","14,841.25","14,780.45","","0.68%"
"02-11-2023","14,718.50","14,638.90","14,729.55","14,637.50","","1.19%"
"01-11-2023","14,545.10","14,604.15","14,612.95","14,529.20","","-0.15%"
"31-10-2023","14,566.30","14,607.35","14,658.95","14,556.15","","0.23%"
"30-10-2023","14,533.40","14,547.65","14,557.80","14,403.00","","0.14%"
"27-10-2023","14,513.70","14,399.00","14,561.90","14,398.85","","1.46%"
"26-10-2023","14,305.25","14,390.30","14,400.00","14,133.30","","-1.14%"
"25-10-2023","14,470.25","14,606.75","14,653.05","14,326.50","","-0.60%"
"23-10-2023","14,557.10","14,972.95","14,999.80","14,512.20","","-2.71%"
"20-10-2023","14,963.10","15,087.15","15,111.85","14,923.95","","-0.95%"
"19-10-2023","15,106.95","15,073.60","15,122.20","14,989.65","","-0.12%"
"18-10-2023","15,125.75","15,258.70","15,274.10","15,100.95","","-0.71%"
"17-10-2023","15,234.35","15,248.35","15,270.65","15,208.50","","0.44%"
"16-10-2023","15,167.45","15,166.20","15,202.10","15,129.75","","0.17%"
"13-10-2023","15,141.35","15,112.80","15,189.70","15,088.85","","-0.11%"
"12-10-2023","15,158.10","15,182.10","15,205.15","15,142.90","","0.24%"
"11-10-2023","15,121.55","15,134.60","15,205.25","15,111.50","","0.50%"
"10-10-2023","15,046.40","14,925.35","15,061.20","14,924.70","","1.24%"
"09-10-2023","14,861.50","14,926.30","14,959.75","14,832.75","","-1.34%"
"06-10-2023","15,063.50","15,034.30","15,074.75","15,002.20","","0.59%"
"05-10-2023","14,975.70","15,053.60","15,104.85","14,965.35","","-0.06%"
