Company Name,Ticker,NSE Symbol,Market Cap
360 ONE WAM Ltd.,360ONE.NS,NSE:360ONE,Small Cap
Aadhar Housing Finance Ltd.,AADHARHFC.NS,NSE:AADHARHFC,Small Cap
Aarti Industries Ltd.,AARTIIND.NS,NSE:AARTIIND,Small Cap
Aavas Financiers Ltd.,AAVAS.NS,NSE:AAVAS,Small Cap
Action Construction Equipment Ltd.,ACE.NS,NSE:ACE,Small Cap
Aditya Birla Real Estate Ltd.,ABREL.NS,NSE:ABREL,Small Cap
Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,NSE:ABSLAMC,Small Cap
Aegis Logistics Ltd.,AEGISLOG.NS,NSE:AEGISLOG,Small Cap
Affle (India) Ltd.,AFFLE.NS,NSE:AFFLE,Small Cap
Akums Drugs and Pharmaceuticals Ltd.,AKUMS.NS,NSE:AKUMS,Small Cap
Alembic Pharmaceuticals Ltd.,APLLTD.NS,NSE:APLLTD,Small Cap
Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS,NSE:ALKYLAMINE,Small Cap
Alok Industries Ltd.,ALOKINDS.NS,NSE:ALOKINDS,Small Cap
Amara Raja Energy & Mobility Ltd.,ARE&M.NS,NSE:ARE&M,Small Cap
Amber Enterprises India Ltd.,AMBER.NS,NSE:AMBER,Small Cap
Anand Rathi Wealth Ltd.,ANANDRATHI.NS,NSE:ANANDRATHI,Small Cap
Anant Raj Ltd.,ANANTRAJ.NS,NSE:ANANTRAJ,Small Cap
Angel One Ltd.,ANGELONE.NS,NSE:ANGELONE,Small Cap
Apar Industries Ltd.,APARINDS.NS,NSE:APARINDS,Small Cap
Aptus Value Housing Finance India Ltd.,APTUS.NS,NSE:APTUS,Small Cap
Archean Chemical Industries Ltd.,ACI.NS,NSE:ACI,Small Cap
Asahi India Glass Ltd.,ASAHIINDIA.NS,NSE:ASAHIINDIA,Small Cap
Aster DM Healthcare Ltd.,ASTERDM.NS,NSE:ASTERDM,Small Cap
AstraZenca Pharma India Ltd.,ASTRAZEN.NS,NSE:ASTRAZEN,Small Cap
Atul Ltd.,ATUL.NS,NSE:ATUL,Small Cap
Avanti Feeds Ltd.,AVANTIFEED.NS,NSE:AVANTIFEED,Small Cap
BASF India Ltd.,BASF.NS,NSE:BASF,Small Cap
BEML Ltd.,BEML.NS,NSE:BEML,Small Cap
BLS International Services Ltd.,BLS.NS,NSE:BLS,Small Cap
Balaji Amines Ltd.,BALAMINES.NS,NSE:BALAMINES,Small Cap
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,NSE:BALRAMCHIN,Small Cap
Bata India Ltd.,BATAINDIA.NS,NSE:BATAINDIA,Small Cap
Bikaji Foods International Ltd.,BIKAJI.NS,NSE:BIKAJI,Small Cap
Birla Corporation Ltd.,BIRLACORPN.NS,NSE:BIRLACORPN,Small Cap
Birlasoft Ltd.,BSOFT.NS,NSE:BSOFT,Small Cap
Blue Dart Express Ltd.,BLUEDART.NS,NSE:BLUEDART,Small Cap
Blue Star Ltd.,BLUESTARCO.NS,NSE:BLUESTARCO,Small Cap
Bombay Burmah Trading Corporation Ltd.,BBTC.NS,NSE:BBTC,Small Cap
Brigade Enterprises Ltd.,BRIGADE.NS,NSE:BRIGADE,Small Cap
C.E. Info Systems Ltd.,MAPMYINDIA.NS,NSE:MAPMYINDIA,Small Cap
CCL Products (I) Ltd.,CCL.NS,NSE:CCL,Small Cap
CESC Ltd.,CESC.NS,NSE:CESC,Small Cap
CIE Automotive India Ltd.,CIEINDIA.NS,NSE:CIEINDIA,Small Cap
Campus Activewear Ltd.,CAMPUS.NS,NSE:CAMPUS,Small Cap
Can Fin Homes Ltd.,CANFINHOME.NS,NSE:CANFINHOME,Small Cap
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,NSE:CAPLIPOINT,Small Cap
Capri Global Capital Ltd.,CGCL.NS,NSE:CGCL,Small Cap
Castrol India Ltd.,CASTROLIND.NS,NSE:CASTROLIND,Small Cap
Ceat Ltd.,CEATLTD.NS,NSE:CEATLTD,Small Cap
Cello World Ltd.,CELLO.NS,NSE:CELLO,Small Cap
Central Bank of India,CENTRALBK.NS,NSE:CENTRALBK,Small Cap
Central Depository Services (India) Ltd.,CDSL.NS,NSE:CDSL,Small Cap
Century Plyboards (India) Ltd.,CENTURYPLY.NS,NSE:CENTURYPLY,Small Cap
Cera Sanitaryware Ltd,CERA.NS,NSE:CERA,Small Cap
Chalet Hotels Ltd.,CHALET.NS,NSE:CHALET,Small Cap
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS,NSE:CHAMBLFERT,Small Cap
Chemplast Sanmar Ltd.,CHEMPLASTS.NS,NSE:CHEMPLASTS,Small Cap
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,NSE:CHENNPETRO,Small Cap
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS,NSE:CHOLAHLDNG,Small Cap
City Union Bank Ltd.,CUB.NS,NSE:CUB,Small Cap
Clean Science and Technology Ltd.,CLEAN.NS,NSE:CLEAN,Small Cap
Computer Age Management Services Ltd.,CAMS.NS,NSE:CAMS,Small Cap
